Co,Si,Pt,O,Ni,Gd
911,0,0,8737,287,562
916,0,0,8787,294,562
917,0,0,8797,302,559
915,0,0,8804,294,558
920,0,0,8830,296,569
811,0,0,8989,264,550
713,0,0,9153,219,534
605,0,0,9336,186,515
494,0,0,9544,154,518
393,0,0,9727,118,500
289,0,0,9906,88,480
189,0,0,10088,54,472
88,0,0,10281,23,476
0,0,0,10523,12,472
45,0,0,10441,134,455
115,0,0,10399,273,455
192,0,0,10342,417,457
259,0,0,10310,556,452
339,0,0,10249,710,455
417,0,0,10212,849,452
491,0,0,10159,996,449
564,0,0,10108,1139,458
645,0,0,10082,1282,465
570,0,0,10083,1149,453
498,0,0,10090,1006,429
422,0,0,10108,864,411
348,0,0,10107,736,403
270,0,0,10115,588,386
201,0,0,10116,453,377
135,0,0,10131,318,362
63,0,0,10141,187,354
18,0,0,10142,55,354
115,0,0,9944,88,368
222,0,0,9754,132,390
331,0,0,9553,178,423
440,0,0,9352,227,464
550,0,0,9155,280,495
672,0,0,8931,331,538
780,0,0,8733,381,566
891,0,0,8539,445,599
1003,0,0,8355,502,643
907,0,0,8308,506,621
787,0,0,8297,510,608
674,0,0,8293,520,595
563,0,0,8289,541,589
445,0,0,8281,548,589
322,0,0,8271,567,581
213,0,0,8263,575,585
106,0,0,8254,594,581
0,0,0,8244,622,581
0,0,0,8251,645,578
0,0,0,8272,686,564
0,0,0,8282,732,544
0,0,0,8300,777,548
0,0,0,8301,823,543
0,0,0,8324,875,539
0,0,0,8348,927,531
0,0,0,8352,966,533
0,0,0,8381,1025,544
41,0,0,8431,929,535
106,0,0,8497,839,511
171,0,0,8568,726,509
227,0,0,8621,629,526
288,0,0,8682,538,499
350,0,0,8746,437,493
414,0,0,8826,344,480
477,0,0,8876,249,482
535,0,0,8973,178,484
483,0,0,8951,190,481
424,0,0,8943,212,488
360,0,0,8918,234,460
298,0,0,8924,258,461
238,0,0,8895,281,481
182,0,0,8891,305,482
117,0,0,8873,327,471
52,0,0,8861,354,467
0,0,0,8854,384,479
0,0,0,8752,355,470
0,0,0,8647,331,485
0,0,0,8523,308,493
0,0,0,8429,278,495
0,0,0,8322,261,492
0,0,0,8200,234,494
0,0,0,8103,212,497
0,0,0,7993,184,499
0,0,0,7894,174,505
24,0,0,7715,168,532
68,0,0,7542,170,543
120,0,0,7383,171,557
172,0,0,7205,175,583
222,0,0,7033,179,599
272,0,0,6873,180,610
324,0,0,6709,184,633
368,0,0,6562,192,653
416,0,0,6407,202,682
510,0,0,6363,197,684
638,0,0,6330,215,689
757,0,0,6294,228,701
886,0,0,6274,249,712
1007,0,0,6237,264,738
1128,0,0,6209,286,738
1248,0,0,6193,306,757
1373,0,0,6155,323,776
1530,0,0,6150,355,776
1383,0,0,5739,326,789
1212,0,0,5308,302,789
1036,0,0,4869,280,785
862,0,0,4440,257,788
684,0,0,3979,235,810
508,0,0,3548,214,802
340,0,0,3111,192,794
170,0,0,2694,169,807
10,0,0,2303,172,828
0,0,0,2359,217,822
0,0,0,2491,301,819
0,0,0,2625,389,832
0,0,0,2740,480,818
0,0,0,2883,576,821
0,0,0,3037,663,836
0,0,0,3172,756,839
0,0,0,3317,843,840
0,0,0,3465,942,857
71,0,0,3472,925,862
170,0,0,3518,936,860
275,0,0,3552,943,870
380,0,0,3606,961,884
490,0,0,3650,967,888
608,0,0,3690,986,885
712,0,0,3736,1005,880
822,0,0,3769,1015,887
931,0,0,3851,1050,886
849,0,0,3728,968,888
736,0,0,3591,835,895
634,0,0,3456,717,903
537,0,0,3329,586,911
432,0,0,3199,468,930
324,0,0,3061,338,933
228,0,0,2951,216,940
125,0,0,2831,97,953
48,0,0,2742,0,966
92,0,0,2689,5,956
167,0,0,2629,24,940
247,0,0,2578,39,926
322,0,0,2524,57,910
402,0,0,2488,76,900
479,0,0,2436,91,887
561,0,0,2384,110,869
643,0,0,2344,126,856
727,0,0,2349,144,849
838,0,0,2336,146,853
990,0,0,2380,148,856
1172,0,0,2457,159,883
1332,0,0,2512,166,889
1485,0,0,2564,177,901
1653,0,0,2618,192,917
1816,0,0,2684,199,932
1972,0,0,2746,210,937
2158,0,0,2821,232,940
1980,0,0,2720,208,924
1733,0,0,2617,184,901
1469,0,0,2536,152,908
1229,0,0,2455,124,887
985,0,0,2368,96,881
739,0,0,2302,65,865
497,0,0,2215,46,847
235,0,0,2136,18,848
3,0,0,2105,0,831
0,0,0,2157,1,834
0,0,0,2306,16,831
0,0,0,2439,28,833
0,0,0,2590,45,849
0,0,0,2746,57,848
0,0,0,2884,73,845
0,0,0,3033,87,847
0,0,0,3195,105,843
0,0,0,3376,116,865
0,0,0,3376,122,860
0,0,0,3381,139,858
0,0,0,3412,156,854
0,0,0,3414,176,867
0,0,0,3426,195,863
0,0,0,3437,218,868
0,0,0,3454,236,864
0,0,0,3464,259,862
0,0,0,3522,287,871
37,0,0,3381,265,852
101,0,0,3254,246,849
162,0,0,3122,224,840
224,0,0,3005,207,832
288,0,0,2874,184,817
350,0,0,2752,166,792
410,0,0,2638,147,777
472,0,0,2518,132,780
538,0,0,2400,119,786
507,0,0,2247,114,794
470,0,0,2068,120,808
437,0,0,1914,119,809
403,0,0,1762,121,823
368,0,0,1593,128,839
335,0,0,1432,131,849
304,0,0,1273,136,853
268,0,0,1131,145,876
240,0,0,1025,152,887
221,0,0,1013,146,890
191,0,0,1057,160,903
165,0,0,1111,181,929
136,0,0,1155,198,935
108,0,0,1212,212,935
76,0,0,1255,241,933
48,0,0,1318,259,959
21,0,0,1377,279,975
0,0,0,1465,309,1003
149,0,174,1397,296,967
369,0,398,1334,283,964
594,0,620,1281,275,960
814,0,841,1226,267,946
1040,0,1063,1175,256,921
1281,0,1301,1112,246,898
1504,0,1524,1056,236,890
1733,0,1747,1008,231,861
1955,0,1967,998,234,841
1838,0,1843,945,256,847
1650,0,1602,907,315,849
1482,0,1379,858,362,847
1316,0,1161,837,409,847
1139,0,939,802,460,856
953,0,697,754,510,873
783,0,477,741,558,876
624,0,254,712,613,861
461,0,30,733,674,871
417,0,0,700,636,866
360,0,0,653,586,854
311,0,0,608,525,849
254,0,0,565,471,828
198,0,0,528,415,806
149,0,0,480,369,795
90,0,0,442,314,812
39,0,0,406,257,789
0,0,0,400,206,783
81,0,13,385,258,785
239,0,52,405,359,806
417,0,86,420,458,830
570,0,124,447,544,851
727,0,155,472,635,873
891,0,196,499,723,892
1065,0,229,543,827,915
1221,0,267,567,920,938
1385,0,300,617,1013,963
1292,0,279,600,948,970
1129,0,244,551,829,979
963,0,206,530,707,963
798,0,172,494,592,957
643,0,135,462,473,967
481,0,102,444,357,966
319,0,63,426,240,963
143,0,29,402,117,960
5,0,0,417,12,952
0,0,49,456,32,951
0,0,135,509,92,987
0,0,217,567,154,1021
0,0,307,644,222,1044
0,0,391,697,284,1041
0,0,475,772,346,1084
0,0,559,841,408,1096
0,0,644,906,477,1111
0,0,730,991,536,1128
0,0,683,917,520,1106
0,0,604,824,494,1079
0,0,516,734,474,1054
0,0,426,638,447,1022
0,0,343,542,424,992
0,0,260,450,411,954
0,0,175,370,381,908
0,0,90,292,359,884
0,0,2,234,348,836
0,0,0,228,458,852
0,0,0,235,667,874
0,0,0,233,864,895
0,0,0,241,1059,947
0,0,0,248,1272,988
0,0,0,256,1474,1018
0,0,0,263,1673,1037
0,0,0,273,1863,1056
0,0,0,300,2099,1080
0,0,0,281,1956,1072
16,0,0,245,1724,1053
32,0,0,217,1475,999
48,0,0,186,1241,998
64,0,0,150,984,974
79,0,0,121,748,950
94,0,0,96,512,917
111,0,0,67,274,882
124,0,0,50,46,867
118,0,0,60,10,849
106,0,0,117,7,867
86,0,0,177,5,875
71,0,0,242,3,876
55,0,0,296,0,883
37,0,0,372,1,888
23,0,0,439,4,897
8,0,0,508,8,921
0,0,0,577,11,922
33,0,0,568,51,934
93,0,0,579,117,949
152,0,0,579,192,952
212,0,0,600,262,973
275,0,0,623,333,980
338,0,0,632,414,999
396,0,0,645,489,1007
458,0,0,665,562,1016
516,0,0,679,636,1036
492,0,0,647,604,1041
426,0,0,632,525,1027
371,0,0,605,453,1042
307,0,0,596,378,1046
247,0,0,568,310,1039
185,0,0,547,242,1023
122,0,0,531,166,1026
64,0,0,535,95,1035
5,0,0,548,27,1028
29,0,0,530,46,1015
117,0,0,485,126,1000
205,0,0,452,199,973
293,0,0,418,276,968
381,0,0,389,355,946
466,0,0,351,436,942
565,0,0,318,520,934
648,0,0,283,605,919
739,0,0,260,684,889
745,0,0,256,644,892
722,0,0,257,575,911
707,0,0,263,500,934
686,0,0,261,431,944
660,0,0,279,354,945
640,0,0,282,291,954
614,0,0,289,223,971
599,0,0,302,146,979
588,0,0,318,87,972
568,0,0,296,90,985
535,0,0,266,119,978
506,0,0,237,157,995
487,0,0,210,198,1001
462,0,0,181,226,996
442,0,0,153,266,1004
413,0,0,136,298,1003
396,0,0,114,332,1004
365,0,0,108,377,1006
336,0,144,115,393,1012
324,0,365,152,420,1032
307,0,591,193,439,1033
289,0,829,230,463,1037
279,0,1048,271,491,1058
258,0,1268,313,515,1064
243,0,1492,353,540,1077
237,0,1730,402,572,1105
233,0,1955,437,608,1117
224,0,1861,409,584,1119
195,0,1636,375,537,1114
163,0,1414,338,490,1103
133,0,1177,310,446,1110
108,0,952,268,397,1125
77,0,728,235,357,1135
54,0,508,209,311,1124
29,0,287,182,271,1121
18,0,48,170,227,1121
45,0,0,153,207,1114
108,0,0,136,183,1127
170,0,0,135,156,1123
233,0,0,127,127,1083
307,0,0,128,104,1080
371,0,0,126,77,1075
439,0,0,128,48,1060
510,0,0,124,25,1052
581,0,0,130,0,1043
595,0,0,130,0,1041
620,0,0,151,5,1058
652,0,0,182,15,1075
675,0,0,208,25,1087
700,0,0,234,33,1084
738,0,0,266,41,1094
766,0,0,290,52,1111
790,0,0,324,63,1115
834,0,0,372,67,1135
785,0,0,378,64,1130
688,0,0,394,57,1104
595,0,0,420,48,1091
514,0,0,449,38,1072
425,0,0,474,28,1065
325,0,0,512,19,1042
229,0,0,545,12,1043
145,0,0,583,3,1037
59,0,0,626,0,1014
48,0,0,587,0,999
37,0,0,507,0,996
32,0,0,428,0,982
23,0,0,344,0,967
18,0,0,268,0,975
12,0,0,190,0,963
4,0,0,112,0,949
0,0,0,45,0,936
0,0,0,0,0,922
28,0,0,0,42,925
106,0,0,0,145,921
185,0,0,0,240,919
263,0,0,0,343,917
343,0,0,0,440,906
422,0,0,0,541,913
505,0,0,0,642,920
585,0,0,0,747,911
668,0,0,0,849,907
642,0,8,0,859,921
557,0,49,12,838,921
475,0,84,25,819,921
399,0,120,43,800,932
323,0,160,62,786,941
239,0,196,81,768,948
158,0,237,100,750,964
80,0,279,121,738,960
12,0,310,141,728,974
0,0,305,174,689,972
0,0,264,266,637,962
0,0,226,397,582,960
0,0,187,495,532,930
0,0,147,612,485,918
0,0,112,733,434,902
0,0,74,849,385,897
0,0,33,979,340,871
0,0,0,1108,299,865
28,0,11,1095,300,857
89,0,80,986,318,876
158,0,153,877,341,871
222,0,219,781,361,864
285,0,293,675,383,868
348,0,362,582,403,869
411,0,431,489,422,874
480,0,508,385,446,884
546,0,570,318,473,889
623,0,550,286,458,883
723,0,485,248,431,874
832,0,414,214,417,868
944,0,341,170,405,860
1050,0,268,134,384,850
1158,0,200,97,376,851
1268,0,138,64,363,840
1372,0,65,33,350,837
1491,0,0,0,338,826
1411,0,0,0,328,834
1243,0,0,0,317,848
1073,0,0,0,304,871
892,0,0,3,291,891
730,0,0,8,282,900
551,0,0,12,271,904
384,0,0,14,268,928
221,0,0,19,252,947
35,0,0,23,259,955
5,0,0,39,249,944
32,0,0,82,215,920
57,0,0,128,194,909
86,0,0,169,166,876
112,0,0,224,139,857
140,0,0,271,119,870
170,0,0,319,98,824
193,0,0,365,77,799
221,0,0,415,62,778
216,0,0,402,72,786
185,0,0,381,93,798
162,0,0,365,124,817
136,0,0,350,155,834
106,0,0,340,187,847
78,0,0,329,217,866
53,0,0,321,249,885
25,0,0,320,281,907
0,0,0,317,320,921
0,0,0,360,314,910
0,0,0,450,274,870
5,0,0,542,231,863
14,0,0,645,195,850
19,0,0,755,157,827
26,0,0,869,118,793
32,0,0,974,80,780
37,0,0,1084,47,759
48,0,0,1195,17,740
78,0,0,1361,14,745
131,0,0,1689,12,761
194,0,0,2032,7,767
250,0,0,2374,5,796
311,0,0,2741,3,816
381,0,0,3103,1,825
436,0,0,3446,3,832
496,0,0,3793,5,862
567,0,0,4147,7,889
559,0,0,4288,7,905
482,0,0,4238,5,929
415,0,0,4199,3,944
350,0,0,4178,0,970
285,0,0,4142,0,996
219,0,0,4122,0,1029
145,0,0,4085,0,1062
82,0,0,4074,0,1078
16,0,0,4044,0,1095
0,0,0,4032,16,1100
0,0,0,3953,64,1084
0,0,0,3913,116,1062
0,0,0,3886,165,1058
1,0,0,3834,210,1040
3,0,0,3795,260,1037
5,0,0,3749,310,1021
9,0,0,3705,360,1011
12,0,0,3675,409,1015
40,0,0,3791,406,1005
120,0,0,4028,386,1000
220,0,0,4296,365,1013
304,0,0,4539,345,1003
398,0,0,4781,323,1007
490,0,0,5030,303,990
587,0,0,5259,285,1024
685,0,0,5533,262,1020
777,0,0,5783,239,1010
810,0,0,5921,226,1009
840,0,0,5998,199,1019
879,0,0,6094,171,1014
908,0,0,6192,142,1001
940,0,0,6281,113,1011
978,0,0,6371,87,1020
1009,0,0,6469,57,1007
1055,0,0,6567,28,1022
1095,0,0,6664,1,1021
1059,0,0,6603,10,1022
956,0,0,6449,62,1015
850,0,0,6288,118,1017
734,0,0,6111,179,1030
634,0,0,5950,234,1023
530,0,0,5787,290,1017
426,0,0,5622,344,1007
325,0,0,5457,401,1024
213,0,0,5302,463,1033
183,0,0,5245,475,1030
158,0,0,5295,476,1029
136,0,0,5338,477,1039
111,0,0,5397,480,1056
89,0,0,5452,477,1048
64,0,0,5511,479,1070
44,0,0,5563,481,1099
21,0,0,5624,478,1095
0,0,0,5688,484,1103
0,0,0,5674,471,1113
0,0,0,5631,416,1119
0,0,0,5594,365,1119
0,0,0,5547,312,1136
0,0,0,5505,256,1140
0,0,0,5468,203,1139
0,0,0,5430,153,1149
0,0,0,5393,105,1160
0,0,0,5361,55,1167
18,0,0,5426,37,1187
67,0,0,5547,32,1190
122,0,0,5685,25,1203
181,0,0,5821,19,1228
231,0,0,5973,16,1242
285,0,0,6102,9,1254
338,0,0,6236,3,1265
391,0,0,6381,0,1292
443,0,0,6526,0,1305
447,0,0,6528,51,1349
406,0,0,6397,172,1383
365,0,0,6278,292,1439
327,0,0,6170,423,1491
289,0,0,6063,548,1558
248,0,0,5941,681,1616
208,0,0,5819,809,1660
166,0,0,5708,937,1703
132,0,0,5591,1065,1772
162,0,0,5573,1085,1850
336,0,0,5631,1058,1926
501,0,0,5711,1043,2009
665,0,0,5777,1027,2088
832,0,0,5864,1019,2203
1008,0,0,5934,1000,2279
1176,0,1,6000,982,2377
1342,0,3,6078,973,2461
1512,0,5,6161,964,2549
1536,0,5,6224,927,2647
1423,0,3,6292,841,2748
1325,0,1,6365,752,2863
1209,0,0,6434,675,2961
1109,0,0,6507,601,3060
1004,0,0,6563,515,3168
892,0,0,6632,427,3275
790,0,0,6706,350,3378
687,0,0,6777,277,3483
650,0,0,7019,257,3568
629,0,0,7448,226,3652
604,0,0,7935,192,3736
586,0,0,8383,162,3811
564,0,0,8823,130,3886
540,0,0,9281,99,3962
528,0,0,9725,64,4039
496,0,0,10176,34,4093
481,0,0,10610,5,4188
457,0,0,10655,11,4253
399,0,0,10315,92,4280
344,0,0,9969,182,4304
288,0,0,9639,280,4352
234,0,0,9319,365,4384
183,0,0,8984,458,4419
124,0,0,8632,542,4439
66,0,0,8282,639,4493
14,0,0,7950,730,4535
1,0,0,7858,745,4596
25,0,0,8022,717,4653
53,0,0,8198,690,4717
77,0,0,8350,677,4786
106,0,0,8505,647,4833
127,0,0,8645,628,4894
152,0,0,8810,599,4962
183,0,0,8979,578,5042
205,0,0,9134,564,5108
205,0,0,9359,576,5153
197,0,0,9605,558,5184
187,0,0,9870,548,5214
180,0,0,10160,535,5251
177,0,0,10420,519,5284
166,0,0,10679,514,5321
163,0,0,10961,496,5350
151,0,0,11211,477,5371
146,0,0,11497,471,5399
145,0,0,11650,451,5467
146,0,0,11702,409,5546
148,0,0,11764,367,5614
153,0,0,11838,324,5715
162,0,0,11880,280,5783
171,0,0,11924,245,5860
177,0,0,11973,202,5940
184,0,0,12029,163,5994
200,0,0,12089,122,6085
200,0,0,12173,106,6151
167,0,0,12278,91,6231
146,0,0,12390,78,6306
119,0,0,12498,64,6389
91,0,0,12632,48,6487
64,0,0,12734,38,6555
43,0,0,12848,30,6611
21,0,0,12955,19,6683
1,0,0,13076,11,6755
0,0,0,13187,12,6857
0,0,0,13311,7,6944
0,0,0,13432,5,7028
0,0,0,13561,3,7086
0,0,0,13698,0,7185
0,0,0,13808,0,7258
0,0,0,13928,0,7359
0,0,0,14057,0,7438
0,0,0,14169,0,7524
0,0,0,14389,0,7597
0,0,0,14694,0,7641
0,0,0,14989,0,7675
0,0,0,15288,0,7741
0,0,0,15577,0,7788
0,0,0,15921,0,7826
0,0,0,16221,0,7886
0,0,0,16522,0,7926
0,0,0,16813,0,7973
0,0,0,16976,0,8043
0,0,0,16966,0,8100
0,0,0,16950,0,8144
0,0,0,16922,0,8200
0,0,0,16905,0,8256
0,0,0,16893,0,8319
0,0,0,16864,0,8379
0,0,0,16851,0,8442
0,0,0,16822,0,8516
0,0,0,16893,0,8568
0,0,0,17077,0,8646
0,0,0,17259,0,8720
0,0,0,17434,0,8799
0,0,0,17608,0,8880
0,0,0,17774,0,8959
0,0,0,17966,0,9044
0,0,0,18142,0,9122
0,0,0,18319,0,9199
0,0,39,18335,1,9257
0,0,167,18161,28,9268
0,0,307,17970,58,9281
0,0,433,17786,88,9300
0,0,561,17623,116,9331
0,0,690,17443,144,9330
0,0,829,17243,177,9350
0,0,954,17071,204,9370
0,0,1085,16897,229,9383
0,0,1102,16864,237,9420
0,0,973,17008,234,9469
0,0,837,17156,237,9513
0,0,706,17304,233,9587
0,0,582,17452,230,9624
0,0,451,17586,231,9665
0,0,319,17745,234,9714
0,0,186,17889,229,9780
0,0,63,18029,231,9833
0,0,0,18170,226,9864
25,0,0,18277,201,9884
53,0,0,18371,176,9930
81,0,0,18476,144,9946
107,0,0,18600,116,9973
136,0,0,18692,90,9997
162,0,0,18811,63,10013
188,0,0,18921,32,10028
216,0,0,19016,5,10045
221,0,0,19142,0,10054
193,0,0,19291,19,10055
170,0,0,19448,42,10059
138,0,0,19619,64,10042
111,0,0,19773,89,10037
86,0,0,19919,110,10029
57,0,0,20074,134,10038
32,0,0,20231,157,10034
3,0,0,20391,182,10021
0,0,0,20541,183,10010
28,0,0,20695,162,10003
55,0,0,20837,139,9994
86,0,0,20981,116,9982
117,0,0,21143,91,9950
145,0,0,21292,65,9937
180,0,0,21416,48,9926
204,0,0,21574,25,9923
234,0,0,21724,3,9910
239,0,0,21676,0,9890
208,0,0,21354,0,9876
195,0,0,21048,0,9876
170,0,0,20742,0,9866
150,0,0,20401,0,9850
127,0,0,20089,0,9846
112,0,0,19780,0,9841
93,0,0,19464,0,9831
72,0,0,19142,0,9837
68,0,0,18949,0,9841
61,0,0,18982,0,9856
52,0,0,19013,0,9867
37,0,0,19061,0,9875
32,0,0,19078,0,9913
21,0,0,19117,0,9919
14,0,0,19148,0,9939
3,0,0,19185,0,9964
0,0,0,19207,0,9983
0,0,0,19203,0,9982
0,0,0,19129,0,9954
0,0,0,19043,0,9906
0,0,0,18973,0,9861
0,0,0,18894,0,9826
0,0,0,18818,0,9775
0,0,0,18747,0,9729
0,0,0,18663,0,9696
0,0,0,18592,0,9655
0,0,0,18485,0,9625
0,0,0,18317,0,9614
0,0,0,18155,0,9618
0,0,0,17981,0,9596
0,0,0,17829,0,9569
0,0,0,17656,0,9539
0,0,0,17495,0,9531
0,0,0,17345,0,9526
0,0,0,17178,0,9503
0,0,0,17104,0,9495
0,0,0,17175,0,9495
0,0,0,17255,0,9506
0,0,0,17313,0,9503
0,0,0,17380,0,9502
0,0,0,17466,0,9503
0,0,0,17536,0,9501
0,0,0,17615,0,9515
0,0,0,17695,0,9506
0,0,0,17776,0,9504
0,0,0,17905,0,9494
0,0,0,18037,0,9497
0,0,0,18164,0,9487
0,0,0,18293,0,9483
0,0,0,18418,0,9479
0,0,0,18537,0,9465
0,0,0,18662,0,9457
0,0,0,18787,0,9439
0,0,0,18848,0,9433
0,0,0,18784,0,9452
0,0,0,18714,0,9447
0,0,0,18647,0,9452
0,0,0,18587,0,9463
0,0,0,18530,0,9458
0,0,0,18454,0,9458
0,0,0,18391,0,9465
0,0,0,18322,0,9472
0,0,0,18262,0,9486
0,0,0,18200,0,9517
0,0,0,18137,0,9556
0,0,0,18053,0,9581
0,0,0,18000,0,9591
0,0,0,17929,0,9613
0,0,0,17862,0,9646
0,0,0,17789,0,9689
0,0,0,17723,0,9718
0,0,0,17677,0,9721
0,0,0,17665,0,9720
0,0,0,17642,1,9720
0,0,0,17640,6,9702
0,0,0,17624,12,9706
0,0,0,17604,16,9699
0,0,0,17585,19,9686
0,0,0,17582,25,9687
0,0,0,17559,28,9683
0,0,0,17672,32,9681
0,0,0,17997,34,9680
0,0,0,18331,39,9682
0,0,0,18669,52,9662
0,0,0,19017,60,9655
0,0,0,19339,71,9663
0,0,0,19677,81,9661
0,0,0,20006,91,9658
0,0,0,20359,106,9640
0,0,0,20469,109,9647
32,0,0,20169,95,9670
65,0,0,19894,82,9720
106,0,0,19595,64,9771
139,0,0,19297,53,9804
176,0,0,19004,39,9823
206,0,0,18742,26,9850
241,0,0,18450,12,9895
281,0,0,18165,0,9933
289,0,0,17966,0,9954
252,0,0,17966,12,9960
220,0,0,17950,28,9958
184,0,0,17940,48,9960
151,0,0,17938,64,9969
114,0,0,17947,81,9977
79,0,0,17950,96,9983
48,0,0,17938,115,9970
14,0,0,17929,132,9976
0,0,0,18041,155,9936
1,0,0,18354,214,9822
12,0,0,18662,287,9699
19,0,0,18980,356,9595
28,0,0,19295,428,9469
37,0,0,19631,513,9338
48,0,0,19943,586,9223
58,0,0,20248,667,9099
65,0,0,20562,746,8982
77,0,0,20896,780,8842
149,0,0,21324,692,8642
224,0,0,21719,612,8464
301,0,0,22102,535,8260
385,0,0,22502,457,8078
463,0,0,22894,380,7897
551,0,0,23323,304,7698
627,0,0,23702,230,7523
713,0,0,24100,157,7330
784,0,0,24569,127,7128
861,0,0,25249,171,6870
945,0,0,25896,223,6629
1038,0,0,26538,278,6391
1124,0,0,27172,327,6155
