Co,O,Ni,Gd
0,2946,0,13552
0,2943,0,13561
0,2931,0,13518
0,2960,0,13539
0,2955,0,13532
0,2962,0,13525
0,2962,0,13541
0,2957,0,13543
0,2963,0,13525
0,2967,0,13536
0,2946,0,13528
0,2860,0,13534
0,2848,0,13535
0,2839,0,13541
0,2839,0,13542
0,2843,0,13536
0,2849,0,13537
0,2848,0,13538
0,2845,0,13533
0,2872,0,13542
0,2878,0,13555
0,2887,0,13557
0,2893,0,13544
0,2899,0,13533
0,2905,0,13535
0,2919,0,13528
0,2939,0,13522
0,2943,0,13509
0,2958,0,13522
0,2957,0,13504
0,3011,0,13493
0,2937,0,13508
0,2959,0,13520
0,2993,10,13525
0,3034,22,13553
0,3050,32,13570
0,3088,42,13579
0,3124,54,13595
0,3158,67,13608
0,3210,76,13599
0,3234,86,13610
0,3277,99,13610
0,3315,110,13621
0,3329,122,13645
0,3377,135,13663
0,3421,143,13680
0,3457,156,13682
0,3501,170,13691
0,3534,180,13686
0,3597,191,13684
0,3664,203,13692
0,3611,201,13700
0,3507,193,13726
0,3399,181,13734
0,3292,169,13756
0,3194,157,13775
0,3110,144,13780
0,2991,136,13794
0,2903,127,13806
0,2809,115,13829
0,2710,104,13798
0,2605,93,13807
0,2510,83,13827
0,2415,74,13842
0,2317,62,13845
0,2232,52,13847
0,2141,46,13852
0,2037,30,13875
0,1953,27,13889
0,1875,14,13901
0,1815,11,13906
0,1830,10,13917
0,1830,8,13923
0,1868,6,13932
0,1927,4,13938
0,1968,2,13957
0,2015,0,13980
0,2074,0,13975
0,2118,0,13967
0,2172,0,13975
0,2224,0,13977
0,2294,0,13991
0,2354,0,13996
0,2410,0,14011
0,2460,0,14028
0,2512,0,14035
0,2566,0,14049
0,2636,0,14060
0,2690,0,14059
0,2749,0,14071
0,2799,0,14093
0,2891,0,14089
0,2770,0,14072
0,2660,0,14063
0,2550,0,14049
0,2452,0,14037
0,2339,0,14003
0,2230,0,13990
0,2138,0,13988
0,2037,0,13970
0,1944,0,13958
0,1828,0,13978
0,1733,0,13967
0,1638,0,13939
0,1521,0,13930
0,1425,0,13922
0,1326,0,13919
0,1223,0,13884
0,1140,0,13862
0,1051,0,13833
0,970,0,13843
0,926,0,13847
0,917,0,13850
0,930,0,13853
0,978,0,13871
0,1027,0,13870
0,1079,0,13876
0,1136,7,13907
0,1185,12,13933
0,1240,15,13969
0,1282,21,13976
0,1345,29,13987
0,1394,36,14002
0,1448,41,14036
0,1500,50,14070
0,1572,62,14074
0,1619,71,14086
0,1685,82,14089
0,1738,90,14121
0,1787,102,14134
0,1845,109,14135
0,1938,121,14174
0,1949,121,14190
0,1895,113,14201
0,1882,103,14208
0,1888,92,14213
0,1911,83,14242
0,1926,73,14271
0,1943,66,14293
0,1981,57,14323
0,2001,45,14340
0,2019,37,14356
0,2051,30,14371
0,2059,24,14409
0,2091,18,14413
0,2111,13,14421
0,2146,9,14459
0,2168,2,14492
0,2195,0,14508
0,2218,0,14518
0,2261,0,14522
0,2312,0,14525
0,2418,0,14567
0,2346,0,14561
0,2312,0,14531
0,2294,0,14524
0,2271,0,14515
0,2261,0,14506
0,2251,0,14497
0,2243,0,14479
0,2233,0,14460
0,2230,0,14450
0,2231,0,14422
0,2214,0,14413
0,2198,0,14403
0,2196,0,14394
0,2184,0,14381
0,2178,0,14369
0,2184,0,14357
0,2183,0,14361
0,2183,0,14352
0,2196,0,14337
0,2257,0,14328
0,2285,0,14323
34,2396,0,14331
63,2513,0,14329
92,2606,0,14326
133,2749,0,14309
166,2862,0,14302
198,2981,0,14294
234,3102,0,14284
270,3212,0,14287
301,3320,0,14297
334,3441,0,14298
373,3580,0,14294
402,3689,0,14282
435,3793,0,14280
474,3934,0,14280
507,4053,0,14257
538,4166,0,14234
579,4305,0,14244
607,4436,0,14247
639,4557,0,14256
652,4585,0,14265
613,4360,0,14287
583,4198,0,14301
547,4033,0,14320
512,3835,0,14355
480,3691,0,14393
444,3526,0,14419
407,3332,0,14435
378,3180,0,14440
342,3024,0,14460
312,2866,0,14485
274,2689,0,14504
239,2535,0,14529
209,2389,0,14543
170,2202,0,14570
138,2047,0,14606
103,1904,0,14647
69,1722,0,14671
37,1567,0,14714
6,1450,0,14743
0,1410,0,14763
0,1370,0,14732
0,1371,0,14707
11,1375,0,14686
26,1376,0,14662
38,1382,0,14643
47,1388,0,14624
61,1397,0,14590
74,1405,0,14568
86,1401,0,14556
95,1405,0,14540
110,1420,0,14518
125,1418,0,14485
136,1429,0,14429
150,1442,0,14395
165,1461,0,14391
174,1474,0,14382
190,1483,0,14363
202,1500,0,14349
216,1525,0,14313
225,1563,0,14288
220,1523,0,14291
208,1473,0,14296
195,1439,0,14307
182,1395,0,14308
170,1357,0,14334
157,1322,0,14346
142,1271,0,14389
130,1243,0,14396
119,1211,0,14382
104,1180,0,14395
90,1150,0,14406
78,1116,0,14418
70,1095,0,14427
53,1059,0,14423
40,1029,0,14432
33,1002,0,14438
16,969,0,14453
5,943,0,14486
0,921,0,14506
0,902,0,14519
0,893,0,14521
0,906,0,14522
0,979,0,14523
0,1074,0,14529
0,1152,0,14508
0,1244,0,14517
0,1360,0,14532
0,1452,0,14554
0,1548,0,14560
0,1653,0,14557
1,1747,0,14547
4,1837,0,14556
7,1944,0,14542
10,2053,0,14542
12,2155,0,14544
14,2254,0,14552
19,2370,0,14555
23,2489,0,14556
25,2589,0,14553
29,2710,0,14544
30,2837,0,14540
28,3019,0,14549
24,3255,0,14548
20,3524,0,14551
17,3764,0,14544
14,3996,0,14548
12,4288,0,14553
10,4529,0,14562
6,4771,0,14564
4,5064,0,14572
0,5287,0,14577
0,5538,0,14590
0,5796,0,14618
0,6087,0,14613
0,6332,0,14619
0,6577,0,14621
0,6870,0,14611
0,7131,0,14608
0,7382,0,14610
0,7690,0,14620
0,7984,0,14623
0,7830,0,14615
0,7611,0,14608
0,7395,0,14585
0,7157,0,14568
0,6973,0,14558
6,6762,0,14551
10,6547,0,14538
15,6372,0,14526
23,6117,0,14511
29,5929,0,14495
33,5740,0,14477
37,5534,0,14472
42,5320,0,14496
47,5096,0,14512
52,4891,0,14500
59,4674,0,14439
64,4494,0,14428
70,4295,0,14414
75,4080,0,14380
79,3904,0,14372
79,3890,0,14374
75,3982,0,14389
70,4125,0,14414
64,4271,0,14436
59,4414,0,14440
52,4583,0,14442
47,4722,0,14464
42,4842,0,14490
37,5020,0,14524
33,5158,0,14537
29,5296,0,14551
23,5427,0,14543
15,5600,0,14554
10,5742,0,14567
6,5889,0,14586
0,6052,0,14605
0,6203,0,14625
0,6337,0,14648
0,6504,0,14653
0,6641,0,14673
0,6776,0,14689
0,6711,0,14697
0,6665,0,14718
0,6651,0,14750
0,6628,0,14740
0,6608,0,14760
0,6597,0,14772
0,6567,0,14785
0,6551,0,14828
0,6531,0,14833
0,6513,0,14829
0,6515,0,14840
0,6485,0,14855
0,6470,0,14867
0,6440,0,14881
0,6452,0,14910
0,6426,0,14936
0,6406,0,14936
0,6406,0,14960
0,6403,0,14984
0,6471,0,14999
0,6372,0,14983
5,6254,0,14963
26,6166,0,14936
57,6097,0,14921
94,6005,0,14910
126,5929,0,14891
151,5854,0,14893
188,5768,0,14844
220,5703,0,14831
251,5615,0,14817
283,5545,0,14791
323,5451,0,14779
361,5388,0,14781
390,5315,0,14753
434,5224,0,14713
472,5169,0,14703
507,5075,0,14688
547,5002,0,14669
584,4945,0,14652
619,4885,0,14633
619,4892,0,14629
574,4934,0,14636
539,5009,0,14647
507,5057,0,14673
462,5120,0,14662
431,5185,0,14654
399,5250,0,14638
368,5322,0,14632
341,5371,0,14638
315,5430,0,14629
291,5492,0,14639
263,5569,0,14640
237,5642,0,14648
217,5694,0,14643
202,5772,0,14644
175,5828,0,14647
151,5890,0,14642
123,5970,0,14640
112,6035,0,14636
116,6116,0,14636
120,6240,0,14647
114,6267,0,14672
107,6322,0,14692
97,6348,0,14688
92,6406,0,14712
88,6444,0,14745
85,6494,0,14765
86,6532,0,14783
84,6579,0,14791
82,6613,0,14801
79,6661,0,14812
77,6713,0,14823
72,6765,0,14849
74,6793,0,14889
76,6836,0,14910
76,6903,0,14911
80,6943,0,14912
88,6987,0,14922
96,7035,0,14957
102,7093,0,14959
108,7210,0,14967
102,7068,0,14986
96,7061,0,14994
101,7056,0,15006
112,7057,0,15021
117,7061,0,15027
122,7065,0,15024
130,7057,0,15021
132,7079,0,15033
142,7063,0,15034
150,7079,0,15033
160,7076,0,15042
168,7080,0,15051
174,7091,0,15060
181,7086,0,15074
185,7097,0,15077
193,7123,0,15083
207,7107,0,15094
219,7140,0,15102
233,7135,0,15107
248,7168,0,15134
244,7173,0,15125
231,7221,0,15108
217,7266,0,15092
202,7310,0,15080
188,7380,0,15090
175,7422,0,15085
160,7471,0,15062
146,7525,0,15051
134,7564,0,15033
119,7625,0,15020
104,7684,0,15009
89,7730,0,15008
76,7783,0,15002
64,7824,0,14999
48,7880,0,14978
38,7932,0,14951
24,7978,0,14950
10,8046,0,14943
0,8094,0,14940
0,8181,0,14936
0,8204,0,14924
0,8110,0,14929
26,8072,0,14933
77,8000,0,14940
114,7959,0,14929
160,7895,0,14932
208,7843,0,14919
249,7817,0,14903
300,7767,0,14910
351,7715,0,14910
396,7669,0,14905
441,7620,0,14908
487,7579,0,14912
538,7528,0,14902
582,7471,0,14901
633,7436,0,14920
683,7384,0,14952
731,7344,0,14935
773,7299,0,14939
830,7274,0,14943
874,7311,0,14950
848,7307,0,14922
852,7407,0,14910
865,7529,0,14906
870,7636,0,14890
880,7730,0,14881
896,7858,0,14862
905,7977,0,14855
911,8068,0,14850
930,8192,0,14811
942,8303,0,14782
952,8416,0,14774
965,8519,0,14767
978,8647,0,14759
991,8753,0,14750
1005,8848,0,14727
1015,9001,0,14705
1037,9081,0,14698
1051,9212,0,14708
1082,9357,0,14699
1128,9495,0,14692
1105,9426,0,14695
1049,9285,0,14697
985,9138,0,14675
923,8979,0,14649
873,8833,0,14638
802,8691,0,14638
750,8540,0,14643
692,8413,0,14639
626,8248,0,14635
569,8106,0,14627
511,7972,0,14614
457,7828,0,14604
390,7688,0,14601
328,7532,0,14598
279,7403,0,14592
211,7244,0,14601
155,7123,0,14604
100,6962,0,14611
40,6851,0,14608
0,6710,0,14595
0,6679,0,14571
0,6560,0,14583
0,6486,0,14582
3,6426,0,14570
11,6354,0,14552
23,6266,0,14562
33,6206,0,14551
37,6120,0,14553
43,6048,0,14535
53,5974,2,14523
63,5899,6,14508
71,5813,10,14503
77,5732,12,14510
83,5675,14,14521
91,5597,16,14520
103,5523,20,14512
113,5448,23,14503
119,5380,26,14507
132,5300,30,14512
137,5221,32,14504
142,5259,36,14485
175,5178,32,14487
226,5163,29,14491
269,5161,26,14509
326,5172,23,14529
382,5158,20,14537
430,5168,16,14536
483,5154,14,14528
534,5169,12,14523
594,5166,10,14517
645,5176,6,14511
705,5191,2,14537
753,5204,0,14543
802,5216,0,14555
855,5219,0,14551
908,5238,0,14552
963,5241,0,14557
1014,5265,0,14568
1072,5268,0,14576
1127,5277,0,14580
1176,5317,0,14579
1139,5457,0,14577
1105,5633,0,14586
1063,5814,0,14583
1030,5998,0,14566
985,6215,0,14596
959,6412,0,14591
919,6611,0,14592
875,6823,0,14615
838,7030,0,14602
806,7217,4,14597
768,7430,8,14590
734,7633,11,14583
698,7813,13,14584
668,8007,15,14581
624,8242,18,14586
588,8436,21,14589
557,8632,24,14590
520,8852,28,14596
488,9048,30,14613
462,9264,34,14622
467,9343,34,14626
481,9253,30,14620
491,9180,29,14610
515,9129,26,14608
550,9059,21,14621
577,9008,18,14638
603,8957,15,14626
638,8877,13,14623
661,8812,11,14632
692,8750,9,14616
720,8705,5,14608
749,8649,1,14606
779,8595,0,14617
810,8544,0,14621
837,8460,0,14621
869,8406,0,14615
895,8362,0,14611
929,8320,0,14619
963,8254,0,14641
989,8203,0,14649
1032,8206,0,14642
992,8160,0,14646
969,8172,0,14646
946,8166,0,14646
916,8178,0,14655
898,8190,0,14653
881,8191,0,14664
854,8213,0,14644
828,8203,0,14641
814,8228,0,14640
782,8221,0,14617
764,8247,0,14616
744,8246,0,14631
723,8274,0,14667
697,8292,0,14679
680,8294,0,14656
658,8318,0,14656
