Co,Si,Pt,O,Ni,Gd,Al
834,94,12578,86,1157,151,485
843,96,12588,82,1168,151,484
838,95,12605,82,1167,149,485
845,95,12604,89,1173,155,486
846,94,12593,87,1173,154,483
840,94,12639,88,1167,152,482
794,86,13411,77,1082,142,439
759,74,14096,70,1031,142,403
725,64,14859,58,975,141,368
695,53,15629,50,912,140,329
652,44,16386,41,853,143,294
620,35,17137,35,797,150,264
589,25,17840,27,739,152,227
552,16,18605,18,685,155,193
519,6,19382,15,639,163,162
486,0,20140,10,591,176,128
480,0,20552,11,574,179,117
433,0,19908,16,560,160,106
383,0,19220,36,557,145,91
337,0,18548,61,563,127,78
287,0,17857,82,579,112,64
240,0,17174,100,579,94,52
193,0,16495,125,593,75,39
152,0,15862,147,593,61,27
103,0,15179,174,601,48,16
57,0,14491,200,609,38,7
14,0,13813,225,633,32,0
0,0,13356,226,678,32,0
0,0,13211,216,734,29,0
0,0,13072,207,800,33,0
0,0,12923,202,865,39,0
0,0,12770,195,932,51,0
0,0,12621,192,993,56,0
0,0,12483,185,1058,68,0
0,0,12332,178,1122,75,0
0,0,12193,177,1186,81,0
0,0,12035,183,1263,96,0
0,0,11886,195,1337,115,0
9,0,11959,190,1332,112,0
56,0,12147,172,1251,96,0
115,0,12336,153,1178,81,0
173,0,12547,132,1120,72,0
230,0,12746,117,1055,60,0
290,0,12951,104,987,52,0
344,0,13115,95,925,48,0
402,0,13331,81,853,38,0
462,0,13528,65,794,32,0
525,0,13740,52,726,26,0
578,0,13958,48,666,27,0
641,0,14044,45,635,29,0
739,0,14143,40,611,30,0
836,0,14233,36,601,41,0
942,0,14349,29,593,61,0
1038,0,14438,22,593,84,0
1135,0,14532,16,581,112,0
1234,0,14631,10,577,135,0
1336,0,14724,6,580,157,0
1440,0,14836,0,571,178,0
1544,0,14927,0,569,205,0
1662,0,15040,0,597,226,0
1533,0,14820,0,609,219,0
1379,0,14585,0,624,201,0
1237,0,14332,5,659,194,0
1101,0,14081,9,674,181,0
955,0,13849,14,702,172,0
823,0,13617,19,733,161,0
684,0,13367,26,751,152,0
548,0,13125,32,775,137,0
406,0,12882,37,804,129,0
269,0,12623,42,844,133,0
176,0,12418,44,891,140,0
317,0,12776,42,845,123,0
484,0,13170,36,829,112,0
669,0,13539,30,819,102,0
847,0,13912,25,815,94,0
1033,0,14301,19,793,83,0
1196,2,14637,13,790,70,0
1377,5,15027,9,780,69,0
1561,7,15396,5,766,69,0
1744,9,15790,0,766,65,0
1928,11,16164,0,753,64,0
2037,12,16368,0,765,69,0
1843,10,15877,0,815,62,0
1644,8,15412,0,897,55,0
1444,6,14926,0,983,59,0
1257,4,14445,0,1082,58,0
1081,1,14007,0,1158,59,0
883,0,13526,0,1250,68,0
694,0,13039,0,1346,68,0
500,0,12552,0,1434,70,0
313,0,12086,0,1524,76,0
149,0,11634,0,1613,85,0
73,0,11248,0,1653,91,0
93,0,11010,4,1547,79,0
124,0,10772,14,1443,72,0
152,0,10530,27,1354,68,0
180,6,10303,38,1259,67,0
206,8,10097,49,1171,65,0
234,12,9849,61,1071,58,0
266,16,9626,75,986,64,0
293,19,9384,87,888,61,0
325,22,9150,97,803,76,0
358,26,8942,109,735,85,0
358,26,9222,109,705,92,0
345,22,10031,96,711,93,10
339,19,10852,91,733,103,25
340,16,11667,82,752,108,46
340,12,12433,76,770,118,61
337,8,13234,69,801,130,81
339,5,14066,65,822,142,100
340,0,14877,59,842,157,118
342,0,15700,53,871,175,138
340,0,16465,50,891,182,152
347,0,17279,52,921,200,172
339,6,17302,51,973,197,166
345,29,16976,43,1031,189,147
360,54,16650,37,1095,188,131
372,81,16310,31,1167,187,111
383,109,16016,26,1237,182,92
396,131,15674,19,1305,183,75
411,157,15357,13,1377,185,58
429,182,15012,8,1442,184,37
443,211,14681,2,1518,193,20
461,234,14386,0,1588,186,8
491,262,14042,0,1688,207,0
568,242,13866,0,1636,193,0
686,217,13702,0,1565,171,0
813,189,13563,0,1509,161,0
913,168,13420,0,1448,146,0
1044,140,13259,0,1386,136,0
1165,114,13095,0,1327,124,0
1284,87,12948,0,1270,122,0
1403,61,12793,0,1218,111,0
1526,36,12628,0,1160,102,0
1644,14,12495,0,1097,95,0
1801,0,12377,0,1079,101,0
1693,0,12957,0,1062,95,0
1600,0,13562,0,1054,86,0
1520,0,14170,0,1055,86,0
1432,0,14727,0,1045,85,0
1348,0,15333,0,1051,90,0
1263,0,15945,0,1054,99,0
1173,0,16542,0,1053,99,0
1084,0,17145,0,1058,108,0
1005,0,17692,0,1057,111,0
923,0,18292,0,1064,124,0
875,0,18857,0,1083,132,0
961,20,19204,0,1047,119,0
1083,50,19522,0,1059,104,10
1187,72,19843,0,1069,106,18
1316,96,20175,0,1073,100,27
1437,124,20521,0,1070,94,39
1554,150,20850,0,1077,95,51
1687,179,21187,0,1086,91,60
1804,203,21526,0,1094,85,70
1911,226,21833,0,1095,81,83
2038,253,22174,0,1100,86,91
2108,265,22476,0,1109,86,109
2095,236,22674,0,1038,74,164
2080,213,22897,0,966,57,216
2064,184,23077,0,903,48,270
2062,160,23297,0,837,41,326
2050,133,23503,0,767,22,381
2037,105,23723,0,704,21,440
2023,83,23926,0,628,19,491
2021,53,24137,0,570,7,544
2010,30,24339,0,503,13,599
2007,3,24540,0,443,17,660
1969,0,24157,0,453,26,660
1840,0,23169,0,466,44,597
1724,0,22170,0,510,62,544
1611,0,21262,0,554,81,491
1488,0,20282,0,593,106,445
1375,0,19290,0,639,129,393
1262,0,18308,0,689,155,343
1131,0,17315,0,735,178,294
1030,0,16416,0,778,199,247
904,0,15423,0,828,226,195
803,0,14426,0,878,259,151
748,0,14367,0,865,246,137
714,0,14749,0,803,219,120
693,0,15104,0,754,204,104
666,0,15473,0,701,195,91
637,0,15853,0,635,184,74
612,0,16242,1,578,172,59
587,0,16615,4,533,155,42
567,0,16961,6,488,149,26
539,0,17350,8,438,146,14
509,0,17726,10,387,133,2
497,0,18111,10,363,139,0
464,0,17865,10,370,125,0
416,8,17491,8,411,112,0
364,18,17156,7,461,97,0
316,29,16790,5,507,83,0
266,40,16410,2,554,70,0
213,52,16036,0,609,54,0
164,62,15670,0,667,45,0
119,70,15327,0,712,37,0
65,82,14949,0,766,21,0
23,93,14588,0,821,15,0
0,110,14211,0,892,20,0
10,93,14594,0,844,16,42
32,82,14936,0,831,13,97
61,70,15319,0,825,14,157
95,62,15696,0,821,16,214
124,52,16071,0,813,18,276
156,40,16462,0,806,22,337
186,30,16805,0,799,24,395
219,18,17172,0,797,29,456
247,8,17563,0,797,38,514
280,0,17938,0,800,43,575
302,0,18207,0,822,48,616
374,0,17787,0,789,40,565
457,0,17402,0,786,43,522
540,0,16990,0,779,58,479
625,0,16571,0,777,72,433
715,0,16156,0,767,94,396
798,0,15725,0,756,106,358
875,0,15349,0,756,123,315
958,0,14940,0,754,143,280
1053,0,14514,0,750,158,240
1148,0,14103,0,747,184,197
1185,0,13810,0,758,191,186
1076,0,13699,0,715,171,172
975,1,13615,0,684,158,164
865,7,13520,0,659,154,151
766,14,13422,0,624,150,140
657,19,13329,0,600,152,131
554,24,13237,0,562,139,119
459,29,13149,0,536,145,112
354,36,13050,0,509,147,103
253,42,12963,0,484,139,98
155,48,12863,0,458,151,90
128,48,13124,0,444,151,87
158,42,13660,0,434,139,90
195,36,14245,0,444,137,96
237,30,14845,0,450,135,109
280,24,15430,0,455,134,117
315,19,16034,0,470,138,128
353,14,16568,0,487,139,138
390,8,17163,0,506,131,151
438,2,17762,0,519,140,163
474,0,18353,0,537,152,175
524,0,18943,0,558,170,192
523,0,18784,0,577,169,191
532,0,18161,0,620,153,182
554,0,17549,0,669,141,175
571,0,16924,0,719,134,165
589,0,16305,0,769,122,157
609,0,15682,0,827,113,153
623,0,15112,0,871,106,142
644,0,14492,0,922,94,136
659,0,13864,0,975,92,129
682,0,13241,0,1036,91,125
720,0,12642,0,1104,92,120
683,0,12785,0,1142,98,111
621,0,13156,2,1209,126,99
561,0,13511,8,1279,158,87
500,0,13860,14,1345,194,73
436,0,14230,22,1411,236,60
388,0,14567,32,1480,265,46
328,0,14922,36,1554,301,33
266,0,15284,45,1632,338,20
204,0,15630,58,1695,375,10
148,0,15993,62,1767,416,0
102,0,16395,70,1865,462,0
139,0,16483,62,1775,424,0
217,0,16607,58,1695,393,4
284,0,16713,47,1596,350,10
355,0,16828,40,1518,319,18
428,0,16937,32,1434,287,25
500,0,17027,25,1350,258,32
569,0,17164,16,1265,222,43
643,0,17273,10,1183,193,52
723,0,17384,2,1106,164,59
803,0,17503,0,1028,141,70
871,0,17582,0,972,128,77
838,0,17582,0,888,130,80
817,0,17556,13,823,138,100
796,0,17577,27,762,141,131
777,0,17559,44,706,155,165
758,0,17549,64,646,159,191
740,0,17549,79,582,160,227
723,0,17537,98,521,176,265
705,0,17528,116,470,186,298
689,0,17534,137,415,199,336
665,0,17531,152,360,209,381
667,0,17469,162,361,217,399
594,0,17282,141,374,204,408
527,0,17066,123,406,186,430
460,0,16881,104,440,170,447
391,0,16690,87,469,158,470
332,0,16501,72,495,148,492
263,0,16302,55,539,130,518
193,0,16109,36,571,120,542
124,0,15918,19,611,97,567
62,0,15705,3,643,93,597
8,0,15522,0,695,93,628
20,0,15157,0,720,91,637
107,0,14581,1,711,92,573
199,0,13980,10,734,91,503
292,0,13389,19,740,97,436
378,0,12844,28,752,101,379
473,0,12249,38,763,110,309
564,0,11663,47,779,115,243
655,0,11072,58,793,126,180
750,0,10490,66,808,149,118
843,0,9887,76,824,161,54
932,0,9356,86,868,180,8
913,4,8989,85,865,193,5
820,29,8761,79,856,220,28
737,54,8528,76,841,254,68
652,82,8319,75,843,276,112
573,110,8092,78,831,313,148
486,131,7874,78,824,362,188
406,158,7645,80,839,403,235
321,186,7428,78,838,447,280
239,214,7208,81,836,485,328
165,236,7014,82,836,525,371
84,263,6807,93,846,563,414
106,250,6589,87,832,569,396
