Co,O,Ni,Gd
0,2294,95,10818
0,2301,95,10799
0,2312,95,10800
0,2317,95,10799
0,2323,94,10800
0,2324,96,10796
0,2113,85,10795
0,1925,78,10801
0,1774,75,10788
0,1588,74,10795
0,1411,72,10788
0,1232,71,10791
0,1071,74,10797
0,894,75,10799
0,732,75,10799
0,573,74,10800
0,495,84,10806
0,485,74,10807
4,499,72,10826
14,534,84,10850
21,554,98,10871
29,574,102,10883
38,596,116,10903
46,629,128,10928
57,661,142,10931
68,683,155,10972
75,724,174,10979
80,754,193,10995
71,774,169,11008
65,817,148,11027
53,858,124,11010
44,909,107,11027
37,955,89,11031
26,996,71,11029
20,1047,54,11040
11,1094,38,11069
2,1154,21,11062
0,1209,20,11072
0,1246,22,11082
0,1127,20,11106
0,1002,17,11147
0,877,13,11168
0,757,9,11179
0,628,6,11219
0,515,3,11222
0,381,0,11256
0,257,0,11264
0,143,0,11294
0,32,0,11312
0,0,0,11341
0,96,0,11297
0,208,0,11259
0,334,0,11242
0,472,0,11212
0,596,0,11173
0,723,0,11135
0,860,0,11097
0,985,0,11069
0,1121,0,11033
0,1256,0,11007
0,1303,0,10998
0,1190,0,11063
0,1075,0,11103
0,975,0,11152
0,876,0,11193
0,773,0,11254
0,670,0,11302
0,582,0,11351
0,487,0,11407
0,388,0,11464
0,312,0,11524
0,305,0,11523
0,353,0,11451
0,417,0,11343
0,481,0,11298
0,556,0,11203
0,637,0,11122
0,704,0,11056
0,781,0,10978
0,859,0,10875
0,936,0,10809
0,1027,0,10728
0,1051,0,10678
0,1048,0,10681
0,1049,8,10678
0,1039,18,10689
0,1031,25,10675
0,1039,32,10691
3,1044,41,10690
6,1043,50,10685
8,1060,59,10688
12,1057,68,10694
14,1084,76,10689
15,1118,77,10688
13,1214,68,10718
8,1344,59,10709
6,1475,50,10720
4,1601,41,10711
0,1724,35,10725
0,1861,25,10733
0,1990,18,10751
0,2132,9,10771
0,2266,3,10775
0,2405,5,10769
0,2462,5,10761
14,2413,3,10746
29,2370,1,10730
47,2332,0,10707
63,2289,0,10702
82,2261,0,10669
100,2231,0,10659
120,2193,0,10614
139,2154,0,10605
158,2126,0,10585
174,2090,0,10582
175,2009,0,10588
165,1916,0,10603
157,1823,0,10642
149,1733,0,10691
144,1661,0,10713
135,1562,0,10742
130,1470,0,10781
123,1395,0,10793
115,1312,0,10831
109,1239,0,10852
104,1203,0,10903
100,1197,0,10899
88,1206,0,10902
76,1228,0,10884
61,1240,0,10934
53,1252,0,10927
42,1272,0,10921
32,1299,0,10917
22,1317,0,10926
12,1350,0,10931
0,1367,0,10931
0,1418,0,10927
0,1463,0,10917
0,1595,0,10894
0,1718,0,10882
0,1866,0,10829
0,2012,0,10823
0,2138,0,10797
0,2276,0,10787
0,2434,0,10745
0,2562,0,10728
0,2710,0,10713
0,2885,0,10687
0,2781,0,10689
0,2628,0,10692
0,2465,0,10711
0,2312,0,10694
0,2183,0,10702
0,2030,0,10713
0,1881,0,10719
0,1752,0,10740
0,1609,0,10744
0,1468,0,10746
0,1365,0,10766
0,1345,0,10738
1,1406,0,10690
11,1453,0,10654
19,1502,0,10612
27,1559,0,10577
37,1616,0,10503
44,1668,0,10468
53,1730,0,10417
63,1786,0,10373
73,1871,0,10352
81,1976,0,10293
74,1972,0,10347
68,2021,0,10412
56,2085,0,10496
47,2150,0,10566
40,2216,0,10643
30,2280,0,10702
22,2341,0,10779
14,2415,0,10866
5,2474,2,10930
0,2553,4,11015
0,2661,6,11096
0,2606,4,11021
0,2560,2,10936
0,2535,12,10852
0,2496,25,10778
0,2456,38,10699
0,2427,50,10616
0,2381,64,10536
0,2366,77,10446
0,2333,88,10370
0,2314,102,10276
0,2348,113,10183
0,2192,103,10214
0,2044,88,10253
0,1915,78,10279
0,1767,65,10325
0,1610,51,10346
0,1471,38,10376
0,1341,27,10402
0,1196,14,10433
0,1058,1,10471
0,932,0,10492
0,857,0,10543
0,898,0,10590
0,989,0,10636
0,1100,0,10709
0,1215,0,10782
0,1320,0,10832
0,1432,0,10904
0,1551,0,10968
0,1676,0,11027
0,1783,0,11092
0,1908,0,11145
0,2034,0,11213
0,1976,0,11138
0,1963,0,11080
0,1957,0,10994
0,1939,0,10944
0,1936,0,10874
0,1933,0,10814
0,1920,0,10748
0,1922,0,10685
0,1916,0,10615
0,1929,0,10539
0,1974,0,10486
0,1835,0,10506
0,1748,0,10558
0,1628,0,10587
0,1533,0,10628
0,1435,0,10657
0,1356,0,10679
0,1256,0,10719
0,1160,0,10760
0,1076,0,10791
0,985,0,10801
0,968,0,10812
0,1006,0,10801
0,1087,0,10790
0,1173,0,10787
0,1274,0,10759
0,1350,0,10759
0,1462,0,10743
0,1542,0,10724
0,1634,0,10700
0,1729,0,10688
0,1845,0,10669
0,1920,0,10655
0,1777,0,10616
0,1678,0,10592
0,1581,0,10586
0,1495,0,10561
0,1404,0,10543
0,1320,0,10517
0,1240,0,10476
0,1162,0,10476
0,1074,0,10441
0,1006,0,10410
0,1000,0,10401
0,1119,6,10423
0,1250,18,10452
0,1376,32,10482
0,1520,46,10518
0,1667,60,10544
0,1801,70,10557
0,1946,88,10606
0,2088,104,10643
0,2228,114,10663
0,2393,126,10699
0,2487,134,10703
0,2442,122,10680
0,2417,110,10650
0,2381,98,10618
0,2349,86,10579
0,2321,80,10553
0,2299,68,10522
0,2267,58,10488
0,2254,50,10465
0,2228,39,10435
0,2214,37,10403
0,2175,38,10391
0,2108,34,10381
0,2064,28,10384
0,2030,24,10384
0,2008,20,10368
0,1983,15,10377
0,1950,12,10354
0,1926,11,10362
0,1887,8,10355
0,1870,10,10348
0,1865,13,10339
0,1841,13,10319
0,1763,10,10305
0,1702,8,10269
0,1653,6,10235
0,1603,4,10208
0,1551,0,10179
0,1509,0,10145
0,1458,0,10119
0,1398,0,10096
0,1363,0,10052
0,1336,0,10038
0,1336,0,10023
0,1357,0,10035
0,1405,0,10027
0,1451,6,10023
0,1490,12,10036
0,1545,22,10061
0,1584,30,10053
0,1628,38,10073
0,1688,46,10082
0,1742,55,10097
0,1829,61,10092
0,1802,61,10123
0,1649,55,10155
0,1527,54,10196
0,1403,55,10245
0,1278,53,10307
0,1159,54,10345
0,1048,52,10395
0,921,53,10422
0,800,57,10473
0,692,64,10537
0,593,71,10569
0,624,70,10581
0,734,63,10555
0,866,54,10531
0,997,47,10518
0,1141,38,10471
0,1268,30,10459
0,1420,22,10435
0,1562,15,10407
0,1700,7,10397
0,1850,0,10355
0,2019,0,10346
0,2090,0,10320
0,2210,0,10284
0,2349,0,10268
0,2490,0,10253
0,2615,0,10202
0,2753,0,10195
0,2896,0,10184
0,3026,0,10153
0,3179,0,10137
0,3328,0,10093
0,3494,0,10099
0,3392,0,10109
0,3153,0,10146
0,2937,0,10154
0,2727,0,10178
0,2500,0,10199
0,2277,0,10222
0,2076,0,10271
0,1842,0,10286
0,1631,0,10310
0,1428,0,10353
0,1251,0,10372
0,1189,0,10334
0,1158,0,10301
0,1127,0,10253
0,1098,0,10208
0,1075,0,10165
0,1048,0,10118
0,1024,0,10064
0,985,0,10034
0,967,0,9984
0,952,0,9951
0,959,0,9915
0,909,0,9916
0,909,0,9936
5,915,0,9930
17,916,0,9940
30,933,0,9951
44,933,0,9976
53,944,0,9970
67,951,0,9983
76,968,2,10001
90,988,4,10018
100,1024,6,10034
92,1053,4,10025
80,1119,2,10042
71,1203,0,10033
59,1282,0,10054
46,1367,0,10049
36,1432,0,10049
22,1525,0,10058
9,1611,0,10060
0,1698,0,10062
0,1784,0,10056
0,1906,0,10050
0,1803,0,10030
0,1710,0,10005
0,1605,0,9958
0,1497,0,9948
0,1400,0,9902
0,1284,0,9870
0,1188,0,9838
0,1088,0,9811
0,972,0,9771
0,880,0,9720
0,830,0,9695
0,835,0,9702
0,896,0,9688
0,963,0,9713
0,1035,0,9708
0,1096,0,9718
0,1176,0,9722
0,1250,0,9731
0,1319,0,9748
0,1390,0,9750
0,1456,0,9747
0,1554,0,9753
0,1572,0,9752
0,1647,0,9754
0,1731,0,9748
0,1813,0,9739
0,1911,0,9763
0,1978,0,9754
0,2073,0,9748
0,2160,0,9764
0,2252,0,9769
0,2344,0,9752
0,2457,0,9763
0,2279,0,9767
0,2124,0,9787
0,1954,0,9798
0,1800,0,9806
0,1664,0,9824
0,1517,0,9826
0,1354,2,9866
0,1208,4,9868
0,1057,6,9865
0,924,8,9884
0,861,9,9898
0,875,7,9920
0,947,6,9944
0,1016,3,9954
0,1091,1,9968
0,1168,0,9994
0,1247,0,10014
0,1319,0,10056
0,1400,0,10074
0,1487,0,10105
0,1558,0,10094
0,1632,0,10125
0,1614,0,10091
0,1608,0,10086
0,1600,0,10058
0,1587,0,10051
0,1579,0,10026
0,1579,0,9995
0,1571,0,9995
0,1574,0,9973
0,1570,0,9953
0,1582,0,9939
0,1612,0,9918
0,1504,0,9928
0,1431,0,9929
0,1341,0,9912
0,1280,0,9925
0,1212,0,9933
0,1135,0,9923
0,1063,0,9915
0,998,0,9929
0,932,0,9934
0,863,0,9935
0,838,0,9948
0,917,0,9994
0,1042,0,10036
0,1156,0,10087
0,1293,0,10151
0,1422,0,10198
0,1540,0,10255
0,1680,0,10286
0,1812,0,10339
0,1950,0,10398
0,2096,0,10453
0,2173,0,10471
0,2028,0,10397
0,1918,0,10348
0,1784,0,10295
0,1657,0,10243
0,1539,0,10181
0,1421,0,10118
0,1293,0,10067
0,1181,0,10024
0,1062,0,9939
0,961,0,9909
0,917,0,9889
0,893,28,9908
0,888,67,9927
0,888,106,9962
0,877,151,9970
0,882,201,10015
0,885,244,10016
0,886,291,10051
0,885,338,10069
0,890,385,10116
0,902,432,10126
0,897,437,10129
0,804,388,10093
0,707,348,10068
0,623,309,10048
0,531,272,10018
0,437,234,9993
0,354,200,9965
0,258,158,9920
0,167,125,9921
0,84,93,9878
0,10,71,9853
0,16,71,9843
0,147,62,9876
0,283,56,9900
0,433,47,9933
0,589,39,9947
0,725,30,9972
0,875,22,10017
0,1028,15,10036
0,1167,7,10073
0,1324,3,10095
0,1483,5,10125
0,1492,4,10122
0,1430,10,10089
0,1368,20,10034
0,1321,34,9986
0,1282,45,9969
0,1231,58,9940
0,1191,71,9889
0,1146,85,9844
0,1106,98,9812
0,1071,113,9759
0,1054,124,9716
0,1046,122,9746
0,1040,109,9817
0,1057,95,9878
0,1074,83,9947
0,1097,68,10014
0,1121,56,10076
0,1138,43,10138
0,1174,30,10210
0,1207,18,10255
0,1238,6,10346
0,1279,0,10397
0,1267,0,10375
5,1248,4,10329
18,1224,13,10260
30,1232,22,10201
42,1226,32,10158
54,1231,42,10092
62,1232,51,10030
82,1233,68,9953
92,1238,79,9902
103,1248,98,9853
116,1294,117,9785
114,1242,108,9794
100,1151,93,9820
87,1057,78,9857
75,978,60,9860
61,896,50,9892
49,807,36,9922
38,730,28,9958
23,639,18,9978
12,548,8,10006
0,466,0,10025
0,429,0,10045
0,432,0,10097
0,473,0,10135
0,517,0,10189
0,566,0,10241
0,620,0,10284
0,668,0,10319
0,713,1,10378
0,766,3,10421
0,820,5,10463
0,869,7,10528
0,939,9,10569
0,877,7,10559
0,796,6,10538
0,710,4,10547
0,627,1,10532
0,546,0,10515
0,462,0,10522
0,375,0,10513
0,304,0,10506
0,218,0,10497
0,137,0,10495
0,88,0,10478
0,82,0,10456
0,90,1,10442
0,107,9,10431
0,121,16,10414
0,141,23,10389
0,159,29,10359
0,176,39,10351
0,194,44,10326
0,212,51,10310
0,233,58,10280
0,265,64,10267
0,248,59,10230
0,241,52,10193
0,248,45,10164
0,246,40,10117
0,250,30,10102
0,253,24,10067
0,257,16,10048
0,257,9,9989
0,266,3,9979
0,279,0,9954
0,310,0,9911
0,313,6,9987
0,345,34,10049
0,382,66,10113
0,422,100,10171
0,454,131,10242
0,492,168,10306
0,533,208,10384
0,568,236,10426
0,604,273,10510
0,651,307,10564
0,704,341,10636
0,636,310,10628
0,560,286,10626
0,511,258,10616
0,453,232,10611
0,390,201,10614
0,328,173,10604
0,277,147,10597
0,216,123,10611
0,160,98,10605
0,107,78,10587
0,81,68,10577
0,108,59,10500
