Co,Si,Pt,O,Ni,Gd,Al
126,0,16333,0,399,0,0
131,0,16350,0,406,0,0
129,0,16350,0,406,0,0
135,0,16350,0,408,0,0
128,0,16359,0,405,0,0
121,0,16188,0,385,0,19
122,0,15973,0,383,0,69
125,0,15769,0,388,0,113
129,0,15548,0,398,0,161
130,0,15354,0,406,0,205
133,0,15129,0,410,0,254
137,0,14938,0,417,0,300
139,0,14715,0,428,0,345
146,0,14507,0,438,0,394
155,0,14410,0,457,0,405
180,0,14510,0,512,0,358
206,0,14629,0,573,0,311
237,0,14735,0,628,0,266
261,0,14843,0,694,0,218
293,0,14955,0,747,0,173
321,0,15060,0,810,0,126
348,0,15172,0,874,0,82
378,0,15278,0,933,0,34
420,0,15403,0,1011,0,0
381,0,15153,0,960,0,0
335,0,14839,0,907,0,0
289,0,14565,0,864,0,0
242,0,14268,0,806,0,0
191,0,13984,0,771,0,0
150,0,13690,0,720,0,0
106,0,13414,0,677,0,0
57,0,13106,0,637,0,0
14,0,12831,0,592,0,0
0,0,12719,0,562,0,0
0,0,12814,0,503,0,0
0,0,12937,0,441,0,0
0,0,13045,0,384,0,0
0,0,13150,0,328,0,0
0,0,13263,0,273,0,0
0,0,13362,0,218,0,0
0,0,13470,0,170,0,0
0,0,13585,0,117,0,0
0,0,13683,0,83,0,0
22,0,13854,0,75,0,0
59,0,14035,0,72,0,0
97,0,14226,0,73,0,0
132,0,14381,0,74,0,0
171,0,14580,0,68,0,0
208,0,14756,0,76,0,0
248,0,14932,0,83,0,0
284,0,15105,0,89,0,0
322,0,15294,0,95,0,0
326,0,15285,0,102,0,8
287,0,15016,0,105,0,52
251,0,14774,0,121,0,91
210,0,14514,0,135,0,145
171,0,14252,0,145,0,192
135,0,14024,0,165,0,237
97,0,13755,0,180,0,283
61,0,13512,0,199,0,329
22,0,13247,0,218,0,379
0,0,13018,0,244,0,422
32,0,13156,0,211,0,378
76,0,13260,0,183,0,340
120,0,13400,0,155,0,300
